Model,Avg,FLOP × 10 23,MMLU,Dev Benchmarks.ARC C,Dev Benchmarks.HSwag,Dev Benchmarks.WinoG,NQ,DROP,AGIEval,Held-out.GSM8K,Held-out.MMLU PRO,TriviaQA
,Open-weights models 7-14B Parameters,Open-weights models 7-14B Parameters,Open-weights models 7-14B Parameters,Open-weights models 7-14B Parameters,Open-weights models 7-14B Parameters,Open-weights models 7-14B Parameters,Open-weights models 7-14B Parameters,Open-weights models 7-14B Parameters,Open-weights models 7-14B Parameters,Open-weights models 7-14B Parameters,Open-weights models 7-14B Parameters,Open-weights models 7-14B Parameters
Mistral 7B,58.9,n/a,63.5,78.3,83.1,77.7,37.2,51.8,47.3,40.1,30.0,80.3
Llama 3.1 8B,61.8,7.2,66.9,79.5,81.6,76.6,33.9,56.4,51.3,56.5,34.7,80.3
Qwen 2.5 7B,67.4,8.2,74.4,89.5,89.7,74.2,29.9,55.8,63.7,81.5,45.8,69.4
Qwen 3 8B,66.6,n/c,76.8,91.2,89.5,69.9,21.8,61.8,64.3,74.8,50.6,66.5
Gemma 2 9B,67.8,4.4,70.6,89.5,87.3,78.8,38.0,63.0,57.3,70.1,42.0,81.8
Llama 2 13B,54.1,1.6,55.7,67.3,83.9,74.9,38.4,45.6,41.5,28.1,23.9,81.3
Mistral Nemo 12B,66.9,n/a,69.5,85.2,85.6,81.5,39.7,69.2,54.7,62.1,36.7,84.6
Qwen 2.5 14B,72.3,16.0,79.3,94.0,94.0,80.0,37.3,51.5,71.0,83.4,52.8,79.2
Qwen 3 14B,73.6,n/c,80.7,93.4,92.3,76.4,31.8,75.0,70.3,87.3,55.7,73.2
Open-weights models 24-70B,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters
Gemma 2 27B,71.3,21.0,75.7,90.7,88.4,74.5,44.7,70.1,61.5,75.7,44.7,87.4
Qwen 2.5 32B,74.9,16.0,83.1,95.6,96.0,84.0,37.0,53.1,78.0,83.3,59.0,79.9
Qwen 3 32B,68.9,n/c,83.3,94.9,93.5,79.0,31.9,67.4,72.4,34.0,60.7,72.2
Mistral Small 24B,75.2,n/a,80.7,93.3,91.3,77.8,42.3,74.4,69.1,79.7,54.2,88.8
Gemma 3 27B,74.7,23.0,79.5,93.4,88.2,75.0,45.4,73.2,69.5,80.4,52.9,89.1
Llama 3.1 70B,75.5,64.0,79.2,93.1,87.6,78.9,51.3,78.9,66.3,80.6,47.1,92.2
Models,with partially available data,with partially available data,with partially available data,with partially available data,with partially available data,with partially available data,with partially available data,with partially available data,with partially available data,with partially available data,with partially available data,with partially available data
StableLM 2 12B,62.2,2.9,62.4,81.9,84.5,77.7,37.6,55.5,50.9,62.0,29.3,79.9
Zamba 2 7B,65.2,n/c,68.5,92.2,89.4,79.6,36.5,51.7,55.5,67.2,32.8,78.8
Fully-open models,Fully-open models,Fully-open models,Fully-open models,Fully-open models,Fully-open models,Fully-open models,Fully-open models,Fully-open models,Fully-open models,Fully-open models,Fully-open models,Fully-open models
Amber 7B,35.2,0.5,24.7,44.9,74.5,65.5,18.7,26.1,21.8,4.8,11.7,59.3
OLMo 7B,38.3,1.0,28.3,46.4,78.1,68.5,24.8,27.3,23.7,9.2,12.1,64.1
MAP Neo 7B,49.6,2.1,58.0,78.4,72.8,69.2,28.9,39.4,45.8,12.5,25.9,65.1
OLMo 7B 0424,50.7,1.0,54.3,66.9,80.1,73.6,29.6,50.0,43.9,27.7,22.1,58.8
DCLM 7B,56.9,1.0,64.4,79.8,82.3,77.3,28.8,39.3,47.5,46.1,31.3,72.1
OLMo27B,62.9,1.8,63.7,79.8,83.8,77.2,36.9,60.9,50.4,67.5,31.0,78.0
OLMo213B,68.3,4.6,67.5,83.5,86.4,81.5,46.7,70.7,54.2,75.1,35.1,81.9
OLMo232B,73.3,13.0,74.9,90.4,89.7,83.0,50.2,74.3,61.0,78.8,46.9,88.0
