Microanneal Experiment 1.Mix,Microanneal Experiment 1.Web ratio,Microanneal Experiment 1.Tokens,Microanneal Experiment 1.MMLU (avg),Microanneal Experiment 1.GSM*
Baseline,n/a,n/a,59.8,28.5
Math 35/65,65.0%,576M,60.1,63.5
Math 10/90,88.3%,1.72B,60.9,61.0
Microanneal Experiment 2,Microanneal Experiment 2,Microanneal Experiment 2,Microanneal Experiment 2,Microanneal Experiment 2
Mix,Web ratio,Tokens,MMLU (avg),GSM*
Baseline,n/a,n/a,59.8,28.5
1x Math,65.0%,576M,60.1,63.5
2x Math,49.3%,798M,60.3,66.0
4x Math,48.6%,1.57B,60.5,65.0
Microanneal Experiment 3,Microanneal Experiment 3,Microanneal Experiment 3,Microanneal Experiment 3,Microanneal Experiment 3
Mix,Web ratio,Tokens,MMLU (avg),GSM*
Baseline,n/a,n/a,59.8,28.5
TinyGSM-Inline,47.9%,3.17B,60.4,25.0
TinyGSM-MIND,52.1%,6.40B,61.4,65.5
2x TinyGSM-MIND,51.3%,12.6B,62.1,70.0
