,AVG,AE2,BBH,DROP,GSM8K,IFE,MATH,MMLU,Safety,PQA,TQA
OLMo 2 1B SFT,36.9,2.4,32.8,33.8,52.1,50.5,13.2,36.4,93.2,12.7,42.1
OLMo 2 1B DPO,40.6,9.5,33.0,34.5,59.0,67.1,14.1,39.9,89.9,12.3,46.4
OLMo 2 1B Instruct,42.7,9.1,35.0,34.6,68.3,70.1,20.7,40.0,87.6,12.9,48.7
OLMo 2 7B SFT,51.4,10.2,49.6,59.6,74.6,66.9,25.3,61.1,94.6,23.6,48.6
OLMo 2 7B DPO,55.9,27.9,51.1,60.2,82.6,73.0,30.3,60.8,93.7,23.5,56.0
OLMo 2 7B Instruct,56.5,29.1,51.4,60.5,85.1,72.3,32.5,61.3,93.3,23.2,56.5
OLMo 2 13B SFT,56.6,11.5,59.9,71.3,76.3,68.6,29.5,68.0,94.3,29.4,57.1
OLMo 2 13B DPO,62.0,38.3,61.4,71.5,82.3,80.2,35.2,67.9,90.3,29.0,63.9
OLMo 2 13B Instruct,63.4,39.5,63.0,71.5,87.4,82.6,39.2,68.5,89.7,28.8,64.3
OLMo 2 32B SFT,61.7,16.9,69.7,77.2,78.4,72.4,35.9,76.1,93.8,35.4,61.3
OLMo 2 32B DPO,68.8,44.1,70.2,77.5,85.7,83.8,46.8,78.0,91.9,36.4,73.5
OLMo 2 32B Instruct,68.8,42.8,70.6,78.0,87.6,85.6,49.7,77.3,85.9,37.5,73.2
