task,split,#,inst (total),# shots,metric,reference
Multiple-choice tasks,Multiple-choice tasks,Multiple-choice tasks,Multiple-choice tasks,Multiple-choice tasks,Multiple-choice tasks,Multiple-choice tasks
ARC-Challenge (ARC_C),Test,1172,,5,pmi,"(Clark et al., 2018)"
BoolQ,Val,1000 (3270),,5,none,"(Clark et al., 2019)"
HellaSwag (HSwag),Val,1000 (10042),,5,char,"(Zellers et al., 2019)"
MMLU †,Test,14042,,5,char,"(Hendrycks et al., 2021a)"
WinoGrande (WinoG),Val,1267,,5,none,"(Sakaguchi et al., 2020)"
Generative tasks,Generative tasks,Generative tasks,Generative tasks,Generative tasks,Generative tasks,Generative tasks
DROP,Val,1000 (9536),,5,F1,"(Dua et al., 2019)"
Natural Questions (NatQs),Val,1000 (3610),,5,F1,"(Kwiatkowski et al., 2019)"
Held-out tasks,Held-out tasks,Held-out tasks,Held-out tasks,Held-out tasks,Held-out tasks,Held-out tasks
AGIEval English,Test,2646,,1,MCF,"(Zhong et al., 2024)"
GSM8K,Test,1319,,8 (CoT),EM,"(Cobbe et al., 2021)"
MMLU-Pro,Test,12032,,5,MCF,"(Wang et al., 2024)"
TriviaQA,Val,7993,,5,F1,"(Joshi et al., 2017)"
