Model,Average,AGI Eval English,DeepMind Math,GPQA,IFEval OOD,MMLU Pro
OLMo 2 32B Instruct,44.9,68.3,34.7,35.9,33.1,52.7
OLMo 2 32B DPO,43.8,68.6,34.5,35.7,26.8,53.3
OLMo 2 32B SFT,39.3,63.9,33.4,32.6,20.4,46.3
OLMo 2 1124 13B Inst.,35.2,60.5,26.8,28.8,18.7,41.4
OLMo 2 1124 13B DPO,35.5,60.1,25.4,32.1,18.0,41.8
OLMo 2 1124 13B SFT,33.0,56.0,27.1,27.0,16.6,38.2
OLMo 2 1124 7B Inst.,32.2,57.2,19.1,30.1,18.7,36.0
OLMo 2 1124 7B DPO,31.8,56.7,17.7,30.6,17.3,36.6
OLMo 2 1124 7B SFT,29.8,52.7,19.0,27.7,16.2,33.2
OLMo 7B 0724 Inst.,22.9,43.6,5.8,27.9,14.4,22.9
OLMoE 1B 7B 0924 Inst.,20.5,39.1,4.2,27.5,11.3,20.6
